,points,nu_error,c_error,s_error,type
110,55,-0.015580146628058622,0.6328078782844672,-0.6015466187028287,random
111,60,-0.015498056583160724,0.6329254686015352,-0.6015469525062453,random
112,65,-0.015567946565916979,0.6329074652770603,-0.6014639395685442,random
113,70,-0.015314539627146129,0.6330172480170893,-0.6017566444837921,random
114,75,-0.012811171623616335,0.633139614243635,-0.6053172059604602,random
115,80,-0.007474419698896395,0.6331364740826344,-0.6136165630758743,random
116,85,-0.0026527053222455965,0.6329094148129186,-0.6200939428547241,random
117,90,-0.00267039210401554,0.6329033044517609,-0.6200919636325949,random
118,95,-0.008107311185563959,0.6329737337866655,-0.6153362924150926,random
119,100,-0.008293673095356113,0.6330036140907004,-0.6142769871366781,random
120,5,0.13693249024128462,0.7534030137526843,-0.6296029916510386,random
121,10,-0.04494356110668041,0.5930718809440987,-0.6032446950152694,random
122,15,0.0018848849567070225,0.6431210660453233,-0.6106092323321011,random
123,20,-0.013339386213452875,0.6368560310479804,-0.6007607387330769,random
124,25,0.003598272866724983,0.6342666639311615,-0.6325293860511546,random
125,30,0.001822108526702948,0.634345873661732,-0.6305302074410448,random
126,35,-0.00276326141912564,0.6334120681134707,-0.6262289604818176,random
127,40,-0.009392251966479526,0.6330800274924336,-0.6198333380606037,random
128,45,0.0013282567356880381,0.6329171584795623,-0.6316441420045525,random
129,50,0.0024454237932867162,0.6330549846775524,-0.6316748938798394,random
130,55,0.0007094146211205077,0.6332316543759514,-0.6299903085274725,random
131,60,-0.0025731512647241273,0.6332186506439366,-0.6205988820477116,random
132,65,0.01993422122160915,0.6332459488607713,-0.649977506801695,random
133,70,0.01904736590897793,0.6332053655629066,-0.6488183118394104,random
134,75,0.020590202101929966,0.6331003677311803,-0.6510888106110725,random
135,80,0.012828480978326229,0.6335849200529623,-0.6395507310174777,random
136,85,0.019638958372652948,0.6335884316640176,-0.6491384585850344,random
137,90,-0.021693491212549154,0.633621808674259,-0.5930931175630618,random
138,95,-0.011045451305209175,0.6334609506377773,-0.604520311546296,random
139,100,-0.019730107245140127,0.633460707056684,-0.5958536298569089,random
140,5,0.04403987202245907,0.6770572450935366,-0.6299988697845327,random
141,10,-0.020268562812178925,0.6258404835530794,-0.6193428133016158,random
142,15,-0.01989125988079965,0.6267198451199381,-0.6152060028971985,random
143,20,-0.01757302552406015,0.6320810334531354,-0.6110827406878466,random
144,25,-0.013520025009165049,0.6340129639450302,-0.619044162724573,random
145,30,-0.013172756179552603,0.6342805059494802,-0.6191190134585345,random
146,35,-0.005555886528748943,0.6340386948839479,-0.630358407991666,random
147,40,-0.015239314785896796,0.6337881009751704,-0.6065698047506944,random
148,45,-0.01421911840918555,0.6336122899888791,-0.6066621081331189,random
149,50,-0.014162702359322266,0.6333839988959704,-0.6060623694676672,random
150,55,-0.014331270107786231,0.6334276981072564,-0.6042903942813913,random
151,60,-0.016185192449523766,0.6333924495473676,-0.6027317419161878,random
152,65,-0.016079270495228837,0.6334938829557577,-0.6027286821108475,random
153,70,-0.012803762785043915,0.6331193822021025,-0.6086026413691816,random
154,75,-0.01262669908766767,0.6332754374734404,-0.6086188543937827,random
155,80,-0.015698798654733226,0.633292596308711,-0.6033553652827273,random
156,85,-0.00940814273245949,0.633312404276471,-0.6116442747020815,random
157,90,-0.015789150962915333,0.6332368801230305,-0.6033321546502147,random
158,95,-0.010130597436714739,0.6332894025882695,-0.6082872044718023,random
159,100,-0.010075395423397193,0.633167287028978,-0.6085015105621565,random
160,5,0.04236577222091764,0.6746307403422135,-0.6336884274783798,random
161,10,0.03274779064147548,0.6706613280273342,-0.6313062115650434,random
162,15,0.007218326763449245,0.6324359678878283,-0.6350035345699105,random
163,20,-0.01283489243939262,0.6232745582330848,-0.622334754239734,random
164,25,-0.016933225941841767,0.6199859075618036,-0.6207706848701422,random
165,30,-0.0067448631806259485,0.6275154625870687,-0.6230786343583535,random
166,35,-0.012715234776004669,0.6279597604240554,-0.6169146137885558,random
167,40,-0.013884007587865788,0.6310116709992863,-0.6085604481076461,random
168,45,-0.01567458045747816,0.6309404161615965,-0.6064988119419907,random
169,50,-0.019364230213333222,0.6336194757486991,-0.5984762434447214,random
170,55,-0.001716027765310546,0.6338239540319606,-0.6208918567298611,random
171,60,-0.0025436439889255924,0.6330667667930074,-0.6208152723195424,random
172,65,-0.0024263377473926484,0.6331936537772007,-0.6208078440660683,random
173,70,-0.012929671679728472,0.633267746096015,-0.6074622371494774,random
174,75,-0.02087258324850194,0.6331659282168386,-0.5939011733447489,random
175,80,-0.02082997344861004,0.6330775531510707,-0.5941464005040591,random
176,85,-0.020635059104283315,0.6332658227098461,-0.5941764489208392,random
177,90,-0.020984106671914082,0.6332723588831217,-0.5934034300515523,random
178,95,-0.020975593425594075,0.6332902666726051,-0.5933889079769233,random
179,100,-0.020709959612889906,0.6333050745331614,-0.5938673094717545,random
180,5,0.17969952853350368,0.8128015290498047,-0.6253899872359336,random
181,10,-0.05517918560606594,0.5909860902796518,-0.6029532138882172,random
182,15,-0.046247486767317936,0.5894368274582887,-0.6348432484555168,random
183,20,-0.03375589876802376,0.6126072331291148,-0.6122621365883918,random
184,25,-0.022283007791776832,0.6246629496852536,-0.6102824053812477,random
185,30,0.003563753450631979,0.6243393991996723,-0.6455362642937648,random
186,35,-0.021675977985013084,0.6309078903716435,-0.6010764417010885,random
187,40,-0.02046498727995738,0.6322316646658582,-0.6005517618237973,random
188,45,-0.020889868581505322,0.6324361490308672,-0.5985408185745714,random
189,50,-0.01091614286169662,0.6324694721341894,-0.6103703340678553,random
190,55,0.0011619092287504795,0.6328664754202705,-0.6259025511748515,random
191,60,0.0024602763128243055,0.6329655161596706,-0.6274119965587434,random
192,65,-0.018772503349334002,0.63289662655349,-0.5966277723252885,random
193,70,-0.021176960140261825,0.6328101076090251,-0.5928297559361058,random
194,75,-0.013553755667376488,0.632813392610723,-0.6021434161448808,random
195,80,-0.012543623605235199,0.6331201135158531,-0.6027560493349082,random
196,85,-0.011910520130489988,0.6331130137504783,-0.6034679012291186,random
197,90,-0.005672645949279298,0.633014650421004,-0.6117906454166268,random
198,95,-0.0018051796414365606,0.6329709597288138,-0.618073315017228,random
199,100,-0.001720846951435595,0.6330542846698776,-0.6180850264848274,random
200,5,0.15617384266577916,0.7845468493008823,-0.6394294729443064,info
201,10,0.14122834363400305,0.7765890127352458,-0.6158463297920247,info
202,15,-0.0019177197686260916,0.6312081025202955,-0.6217871281170446,info
203,20,-0.0005643483572309593,0.6363757446172631,-0.6160915972059224,info
204,25,-0.0026840162791229583,0.6358608648458648,-0.6143341461822984,info
205,30,-0.0013188063409476092,0.6356959373988212,-0.6171122398857588,info
206,35,-0.0031544857958738515,0.6338154908892715,-0.6170190811784364,info
207,40,-0.017679074510393633,0.6341509984169444,-0.5948492132302758,info
208,45,-0.015601150179901158,0.6334736356479171,-0.5978853156884765,info
209,50,-0.01555938445566063,0.6334584519001073,-0.5979283101258368,info
210,55,-0.015961513378078274,0.6331722615707714,-0.5977433279077056,info
211,60,-0.004733426080092418,0.6332931894908123,-0.6141493204658836,info
212,65,-0.015391011134042953,0.6336034997302844,-0.5978906043731853,info
213,70,-0.015385114561431878,0.6336216642660996,-0.5978600510851895,info
214,75,-0.0009029021486903765,0.6336502247126578,-0.6189067793682124,info
215,80,-0.02334708178580669,0.6336418305101084,-0.5884183322431507,info
216,85,-0.007415278595113817,0.6336084687838051,-0.6081942726860263,info
217,90,-0.0074899252717463005,0.6335337945396692,-0.6081934076413524,info
218,95,-0.010278027129409062,0.6334864202636192,-0.6047074416815983,info
219,100,-0.01646289426125158,0.6333865956250885,-0.5992678663623052,info
220,5,0.08341597321205751,0.7335261753764887,-0.5780095995425885,info
221,10,0.11552365955245181,0.764131762187801,-0.584090456555886,info
222,15,0.08652466332806841,0.7325112312212501,-0.5862064506148338,info
223,20,-0.0011613828241476831,0.6525941812373511,-0.5867861925423618,info
224,25,-0.003227745339999699,0.6508378301517824,-0.585071524728428,info
225,30,-0.008290048880758794,0.6457068937361471,-0.5851977860383055,info
226,35,-0.012250240222566822,0.6417637119834826,-0.5851914580304107,info
227,40,-0.016182385860770143,0.6379406974787425,-0.585021925606755,info
228,45,-0.01843275421282453,0.635922733212194,-0.5846469804169523,info
229,50,-0.020274412973962597,0.6341173809406775,-0.5877309546196297,info
230,55,-0.021039502937527654,0.6334727918885333,-0.588778526774814,info
