,kernel,pid,visit,r2,max_error,MSE,log_marginal_likelihood
111,1**2 + 1**2 * DotProduct(sigma_0=1) + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),33,3,0.44216870765157135,-0.40016486987792577,-0.019017517399447376,80.4826851791305
112,1**2 + 1**2 * DotProduct(sigma_0=1) + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),35,1,0.25812723388723047,-0.5836577114269759,-0.042454520390362446,18.47571525222682
113,1**2 + 1**2 * DotProduct(sigma_0=1) + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),35,2,-0.21758650562401702,-0.4484333999427269,-0.03240339136179818,54.14173729585583
114,1**2 + 1**2 * DotProduct(sigma_0=1) + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),36,1,-0.03139832419399542,-2.325644660348695,-1.2698381128863985,-197.83856776056166
115,1**2 + 1**2 * DotProduct(sigma_0=1) + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),36,2,-0.06302507541224264,-2.5964886450123656,-1.2800542766534453,-219.0801758230837
116,1**2 + 1**2 * DotProduct(sigma_0=1) + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),36,3,-0.11966394077263524,-1.9864411318824948,-1.4655887710176647,-238.0492370437437
117,1**2 + 1**2 * DotProduct(sigma_0=1) + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),37,1,-0.2573707149595372,-1.1651166407800382,-0.25910652465618456,-65.92258207582762
118,1**2 + 1**2 * DotProduct(sigma_0=1) + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),37,2,-8.82643178881199,-2.129095307044808,-2.3099088402028563,-261.01464603439797
119,1**2 + 1**2 * DotProduct(sigma_0=1) + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),37,3,-0.14333907927269324,-1.6889143316386424,-1.2303579496006192,-243.80839005431187
120,1**2 + 1**2 * DotProduct(sigma_0=1) * RBF(length_scale=1) + WhiteKernel(noise_level=1),21,1,-0.5169072138341854,-1.8396997532910024,-0.37102142204847627,-125.31248876215504
121,1**2 + 1**2 * DotProduct(sigma_0=1) * RBF(length_scale=1) + WhiteKernel(noise_level=1),21,2,-0.33444436947293316,-0.5920540306346274,-0.0578667960454289,3.642849859619247
122,1**2 + 1**2 * DotProduct(sigma_0=1) * RBF(length_scale=1) + WhiteKernel(noise_level=1),21,3,0.21734970129924477,-0.4443541209279431,-0.037162355227664826,23.533575499211565
123,1**2 + 1**2 * DotProduct(sigma_0=1) * RBF(length_scale=1) + WhiteKernel(noise_level=1),23,1,-0.08797051748165399,-2.858279439321052,-0.7880190255998112,-187.24004094462754
124,1**2 + 1**2 * DotProduct(sigma_0=1) * RBF(length_scale=1) + WhiteKernel(noise_level=1),23,2,-0.023088446738969325,-2.4148968519925207,-0.5137065659171328,-161.0450189371105
125,1**2 + 1**2 * DotProduct(sigma_0=1) * RBF(length_scale=1) + WhiteKernel(noise_level=1),23,3,-0.5390571168515306,-2.032782708615747,-1.1523478191253094,-201.9793604803794
126,1**2 + 1**2 * DotProduct(sigma_0=1) * RBF(length_scale=1) + WhiteKernel(noise_level=1),25,1,0.10275498636730358,-3.864650026521116,-2.45665736818386,-349.6105121487401
127,1**2 + 1**2 * DotProduct(sigma_0=1) * RBF(length_scale=1) + WhiteKernel(noise_level=1),25,2,0.08126468851163322,-2.3357721657544284,-1.0968034303033272,-198.07194147914294
128,1**2 + 1**2 * DotProduct(sigma_0=1) * RBF(length_scale=1) + WhiteKernel(noise_level=1),25,3,0.17100572669381087,-1.6895531738973606,-0.28449062839509187,-74.50376650357035
129,1**2 + 1**2 * DotProduct(sigma_0=1) * RBF(length_scale=1) + WhiteKernel(noise_level=1),26,1,-0.9427746175902154,-1.742262354670936,-1.60011509980924,-112.76703519264836
130,1**2 + 1**2 * DotProduct(sigma_0=1) * RBF(length_scale=1) + WhiteKernel(noise_level=1),26,2,-0.09230933132309538,-2.2857348945574936,-1.6690931163147937,-260.2328526239418
131,1**2 + 1**2 * DotProduct(sigma_0=1) * RBF(length_scale=1) + WhiteKernel(noise_level=1),26,3,-0.11741617618925888,-1.7363823783230974,-1.5938097949535293,-286.8589959423483
132,1**2 + 1**2 * DotProduct(sigma_0=1) * RBF(length_scale=1) + WhiteKernel(noise_level=1),27,1,0.0896011185123061,-0.4294703009986714,-0.017236969360185723,90.87372436934285
133,1**2 + 1**2 * DotProduct(sigma_0=1) * RBF(length_scale=1) + WhiteKernel(noise_level=1),27,2,0.13749095120605673,-0.30983942890382854,-0.013768606629968247,109.07597932468201
134,1**2 + 1**2 * DotProduct(sigma_0=1) * RBF(length_scale=1) + WhiteKernel(noise_level=1),27,3,0.2452984008643254,-0.25146649161308465,-0.007930750457700197,154.82370996754304
135,1**2 + 1**2 * DotProduct(sigma_0=1) * RBF(length_scale=1) + WhiteKernel(noise_level=1),28,1,-0.4407903803179904,-0.5966780333355485,-0.0445160190170371,27.196216242123768
136,1**2 + 1**2 * DotProduct(sigma_0=1) * RBF(length_scale=1) + WhiteKernel(noise_level=1),28,2,0.21773522423977515,-0.4425536957399034,-0.02109743462211397,72.014878544993
137,1**2 + 1**2 * DotProduct(sigma_0=1) * RBF(length_scale=1) + WhiteKernel(noise_level=1),28,3,0.314700069701763,-0.2840623253142057,-0.0126483620191836,110.1801307264382
138,1**2 + 1**2 * DotProduct(sigma_0=1) * RBF(length_scale=1) + WhiteKernel(noise_level=1),29,1,0.377916413540073,-1.157665579065445,-0.1686643126277407,-85.69812626145911
139,1**2 + 1**2 * DotProduct(sigma_0=1) * RBF(length_scale=1) + WhiteKernel(noise_level=1),29,2,0.03757776672337241,-2.2947399315188166,-0.3780714434703364,-117.63952397820384
140,1**2 + 1**2 * DotProduct(sigma_0=1) * RBF(length_scale=1) + WhiteKernel(noise_level=1),29,3,0.3360913329679206,-0.6334755079746076,-0.06984990350952987,-24.842749812273482
141,1**2 + 1**2 * DotProduct(sigma_0=1) * RBF(length_scale=1) + WhiteKernel(noise_level=1),30,1,-0.15283320351707824,-1.7122094309003573,-0.3597521718321398,-132.6145116886214
142,1**2 + 1**2 * DotProduct(sigma_0=1) * RBF(length_scale=1) + WhiteKernel(noise_level=1),30,2,-0.3173740400935274,-1.522921190021926,-0.4034607804312607,-138.32417701964494
143,1**2 + 1**2 * DotProduct(sigma_0=1) * RBF(length_scale=1) + WhiteKernel(noise_level=1),30,3,-0.505831432130506,-1.410385016980122,-0.26533346998410917,-110.23429781918243
144,1**2 + 1**2 * DotProduct(sigma_0=1) * RBF(length_scale=1) + WhiteKernel(noise_level=1),31,1,0.362008174012965,-0.22642343891343097,-0.008639086843924787,130.9661803485529
145,1**2 + 1**2 * DotProduct(sigma_0=1) * RBF(length_scale=1) + WhiteKernel(noise_level=1),31,2,0.3119746287919141,-0.2745136032004183,-0.010350131294673213,113.61860506287245
146,1**2 + 1**2 * DotProduct(sigma_0=1) * RBF(length_scale=1) + WhiteKernel(noise_level=1),31,3,-0.1625007138293389,-0.5769481307408804,-0.02640144683254364,56.78749092692112
147,1**2 + 1**2 * DotProduct(sigma_0=1) * RBF(length_scale=1) + WhiteKernel(noise_level=1),32,1,-0.2153238810406119,-1.2061343424349855,-0.13470645333711456,-16.07261172746084
148,1**2 + 1**2 * DotProduct(sigma_0=1) * RBF(length_scale=1) + WhiteKernel(noise_level=1),32,2,-0.10008299430594765,-0.41119471279876174,-0.02709419393931607,76.00518270849227
149,1**2 + 1**2 * DotProduct(sigma_0=1) * RBF(length_scale=1) + WhiteKernel(noise_level=1),33,1,0.032732566993956345,-0.7892565361167192,-0.1065610114418146,-22.17598988070798
150,1**2 + 1**2 * DotProduct(sigma_0=1) * RBF(length_scale=1) + WhiteKernel(noise_level=1),33,2,-0.5320295051508813,-0.5113369764956563,-0.05994771701282946,51.77762330112836
151,1**2 + 1**2 * DotProduct(sigma_0=1) * RBF(length_scale=1) + WhiteKernel(noise_level=1),33,3,0.4421580386846273,-0.40016803446208815,-0.019017979387770858,80.48265857366579
